term_str,n,p,i,n_chars,max_pos,n_pos,stop,p_stem,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
present,9941,0.0017079423701312647,9.193524988701647,7,JJ,6,0,present,0,1,0,0,1,0,1,0,1,1,1
operation,6277,0.0010784382111773412,9.856840764614049,9,NN,1,0,oper,0,0,0,1,0,0,0,0,0,1,0
level,5518,0.0009480360123110672,10.042770516843856,5,NN,7,0,level,0,0,0,0,0,0,1,0,0,1,1
error,5067,0.0008705506477673391,10.165784144674587,5,NN,12,0,error,0,0,0,0,0,1,0,1,0,0,-1
case,4906,0.0008428895752805538,10.212368739639526,4,NN,1,0,case,0,0,0,1,0,1,0,1,0,0,-1
weight,3755,0.0006451386781855848,10.598103065795495,6,NN,7,0,weight,0,1,1,1,1,1,1,1,1,1,0
word,3752,0.000644623254474651,10.599256145681752,4,NN,1,0,word,0,0,0,0,0,0,1,0,0,1,1
instruction,3171,0.0005448028624571211,10.841978096093289,11,NN,4,0,instruct,0,0,0,0,0,0,1,0,0,1,1
structure,3156,0.0005422257439024516,10.848818768183671,9,NN,1,0,structur,0,0,0,0,0,0,1,0,0,1,1
rule,3052,0.0005243577219234101,10.897161011362599,4,NN,6,0,rule,0,0,0,1,0,0,0,0,0,1,0
provide,2886,0.0004958376099184015,10.977844673705931,7,VB,6,0,provid,0,0,0,0,0,0,1,0,0,1,1
art,2817,0.0004839828645669221,11.012756409822199,3,NN,7,0,art,0,1,0,0,1,0,1,1,1,0,1
words,2034,0.00034945727601317695,11.48259629433963,5,NNS,1,0,word,1,0,0,0,0,1,0,0,0,0,-1
procedure,1950,0.00033502541210702805,11.543441849560155,9,NN,5,0,procedur,0,0,0,1,0,0,1,0,0,0,1
instructions,1884,0.0003236860904664825,11.593117008584345,12,NNS,3,0,instruct,0,1,0,0,0,0,0,0,0,1,0
general,1879,0.00032282705094825937,11.596950906777073,7,JJ,3,0,gener,0,0,0,0,0,0,1,0,0,1,1
measured,1822,0.0003130340004405155,11.641393014395078,8,VBN,7,0,measur,0,0,0,0,0,0,1,0,0,1,1
found,1821,0.00031286219253687085,11.64218505122029,5,VBN,4,0,found,0,0,0,0,1,0,1,0,0,1,1
constant,1818,0.00031234676882593696,11.644563774003021,8,JJ,4,0,constant,0,0,0,0,0,0,1,0,0,1,1
respect,1764,0.00030306914202912695,11.688065412639608,7,NN,3,0,respect,0,1,0,0,1,0,1,0,0,1,1
terminal,1701,0.00029224524409951524,11.740532832533743,8,JJ,8,0,termin,0,0,0,1,0,1,0,1,0,0,-1
problem,1668,0.00028657558327924246,11.768796684752465,7,NN,1,0,problem,0,0,0,1,0,1,0,1,0,0,-1
lower,1605,0.0002757516853496308,11.824342676187463,5,JJR,4,0,lower,0,0,0,0,0,1,0,1,0,0,-1
center,1506,0.00025874270288881243,11.916194203525201,6,NN,5,0,center,0,0,0,0,0,0,1,0,0,1,1
routine,1503,0.00025822727917787855,11.919070964280765,7,NN,6,0,routin,0,0,0,0,0,0,1,0,0,1,1
execution,1403,0.00024104648881341558,12.01840096457723,9,NN,4,0,execut,1,0,0,1,0,1,0,1,0,1,-1
